plot_id,tree_no,dbh,y_ifdead,below_dbh,above_dbh,notes
1gc,9,2.2,n,n,n,
1gc,9,1.4,n,n,n,
1gc,9,2.9,n,n,n,
1gc,9,3.3,n,n,n,
1gc,9,1,y,n,n,
1gc,9,1.5,n,n,n,
1gc,9,2.7,n,n,n,
1gc,9,1.7,n,n,n,
1gc,9,1.2,n,n,n,
1gc,9,1.4,n,n,n,
1gc,9,1.6,n,n,n,
1gc,9,1.8,n,n,n,
1gc,9,2,n,n,n,
1gc,10,0.7,n,n,n,
1gc,10,0.5,n,n,n,
1gc,10,1,n,n,n,
1gc,10,1.7,n,n,n,
1gc,10,0.7,n,n,n,
1gc,10,0.7,n,n,n,
1gc,10,0.5,n,n,n,
1gc,10,0.5,n,n,n,
1gc,10,0.9,n,n,n,
1gc,10,0.3,n,n,n,
1gc,10,1.2,n,n,n,
1gc,10,1,n,n,n,
1mc,1,28.2,n,n,n,
1mc,1,23.7,n,n,n,
1mc,1,2.7,n,n,n,
1mc,1,3,n,n,n,
1mc,1,1.3,n,n,n,
1mc,1,3.6,n,n,n,
1mc,1,1.7,n,n,n,
1mc,1,1.9,n,n,n,
1mc,1,2.4,n,n,n,
1mc,1,1.6,n,y,n,
1mc,2,2.9,n,n,n,
1mc,2,19.7,n,n,n,
1mc,2,11.2,n,n,n,
1mc,2,3.1,n,n,n,
1mc,2,1.9,n,n,n,
1mc,2,3.3,n,n,n,
1mc,2,4.2,n,n,n,
1mc,3,19.9,n,n,n,
1mc,3,21.8,n,n,n,
1mc,3,12.6,n,y,n,
1mc,3,20.9,n,n,n,
1mc,3,23,n,n,n,
1mc,3,20.3,n,n,n,
1mc,3,5.5,y,n,n,
1mc,3,20.7,n,n,n,
1mc,3,21,n,n,n,
1mc,3,8.3,y,n,n,
1mc,3,16.9,n,n,n,
1mc,3,20.4,n,n,n,
1mc,4,11,y,n,n,
1mc,4,23.2,n,n,n,
1mc,5,2.9,n,n,n,
1mc,5,9.4,n,n,n,
1mc,5,2.3,n,n,n,
1mc,5,3.3,n,n,n,
1mc,5,2.8,n,n,n,
1mc,5,4.7,n,n,n,
1mc,5,1.7,n,n,n,
1mc,6,6.2,n,n,n,
1mc,6,21,n,n,n,
1mc,6,20.3,n,n,n,
1mc,6,5.4,n,n,n,
1mc,6,5.7,n,n,n,
1mc,6,11,n,n,n,
1mc,6,20,n,n,n,
1mc,6,3.4,n,n,n,
1mc,6,17.6,n,n,n,
1mc,6,10.3,n,n,n,
1mc,6,19.2,n,n,n,
1mc,6,7.3,n,n,n,
1mc,6,8.9,n,n,n,
1mc,7,2.6,n,n,n,
1mc,7,12.6,n,n,n,
1mc,7,2.7,n,n,n,
1mc,7,1.2,n,n,n,
1mc,7,2.9,n,n,n,
1mc,7,1.9,n,n,n,
1mc,7,12.7,n,n,n,
1mc,7,4,n,n,n,
1mc,8,1.9,n,n,n,
1mc,8,8.6,y,n,n,
1mc,8,12.2,y,n,n,
1mc,8,9.1,y,n,n,
1mc,8,7.4,n,n,n,
1mc,8,23.3,n,n,n,
1mc,9,5.5,y,n,n,
1mc,9,13,n,n,n,
1mc,9,17.5,n,n,n,
1mc,9,11.1,n,n,n,
1mc,9,16.3,n,n,n,
1mc,9,6.8,y,n,n,
1mc,9,16.7,n,n,n,
1mc,10,8,n,n,n,
1mc,10,6.2,y,n,n,
1mc,10,12.9,n,n,n,
1mc,10,14.4,n,n,n,
1mc,10,6.7,y,n,n,
1mc,10,13.7,n,n,n,
1mc,10,7.2,y,n,n,
1mc,10,6.6,y,n,n,
1mc,10,10.7,n,n,n,
1mc,10,9,n,n,n,
1mc,10,4.9,y,n,n,
1mc,10,6.2,y,n,n,
1o,1,1.2,y,n,n,
1o,1,0.9,y,n,n,
1o,1,0.6,y,n,n,
1o,1,2.6,n,n,n,
1o,1,1.7,n,n,n,
1o,1,1.3,y,n,n,
1o,1,2.7,n,n,n,
1o,1,0.7,y,n,n,
1o,1,2.3,n,n,n,
1o,1,0.5,y,n,n,
1o,1,2.1,y,n,n,
1o,1,0.2,y,n,n,
1o,1,0.7,y,n,n,
1o,1,3.7,n,n,n,
1o,1,1.6,n,n,n,
1o,1,0.7,y,n,n,
1o,2,2.8,n,n,n,
1o,2,3.1,n,n,n,
1o,2,3,n,n,n,
1o,2,1.8,n,n,n,
1o,2,1.3,n,n,n,
1o,2,1.8,n,n,n,
1o,2,0.4,y,n,n,
1o,2,1.3,n,n,n,
1o,3,0.4,y,n,n,
1o,3,0.7,y,n,n,
1o,3,1.8,n,n,n,
1o,3,0.2,y,n,n,
1o,3,0.6,y,n,n,
1o,3,1.7,n,n,n,
1o,3,0.3,y,n,n,
1o,3,1.1,n,n,n,
1o,4,2.8,n,n,n,
1o,4,3.4,n,n,n,
1o,4,3.7,n,n,n,
1o,4,1.6,n,n,n,
1o,4,0.8,n,n,n,
1o,4,1.1,n,n,n,
1o,4,0.6,n,n,n,
1o,5,3.2,n,n,n,
1o,5,3.9,n,n,n,
1o,5,2.1,n,n,n,
1o,5,2.2,n,n,n,
1o,5,0.5,n,n,n,
1o,5,0.7,y,n,n,
1o,5,0.3,n,n,n,
1o,6,3.5,n,n,n,
1o,6,0.2,y,n,n,
1o,6,0.3,y,n,n,
1o,6,0.2,y,n,n,
1o,6,3.4,n,n,n,
1o,6,0.4,y,n,n,
1o,6,0.3,y,n,n,
1o,6,0.2,y,n,n,
1o,6,0.7,n,n,n,
1o,7,2,n,n,n,
1o,7,1.2,n,n,n,
1o,7,1.2,n,n,n,
1o,7,0.7,n,n,n,
1o,7,1.8,n,n,n,
1o,7,3.1,n,n,n,
1o,7,1,n,n,n,
1o,7,0.5,n,n,n,
1o,7,1.8,n,n,n,
1o,7,0.7,n,n,n,
1o,7,1.2,n,n,n,
1o,8,1.8,n,n,n,
1o,8,0.6,y,n,n,
1o,8,2.2,n,n,n,
1o,8,0.7,y,n,n,
1o,8,2.3,n,n,n,
1o,8,1.9,n,n,n,
1o,8,1.1,y,n,n,
1o,8,2.9,n,n,n,
1o,9,4.2,n,n,n,
1o,9,3.2,n,n,n,
1o,9,1.8,n,n,n,
1o,9,3.6,n,n,n,
1o,9,1.5,y,n,n,
1o,9,1,n,n,n,
1o,10,2.4,n,n,n,
1o,10,1.6,n,n,n,
1o,10,1.1,n,n,n,
1o,10,1.5,n,n,n,
1o,10,0.8,n,n,n,
1o,10,2.3,n,n,n,
1o,10,2,n,n,n,
1o,10,0.2,n,n,n,
1mb,1,4,n,n,n,
1mb,1,6.1,n,n,n,
1mb,1,2.4,n,n,n,
1mb,1,2.8,n,n,n,
1mb,1,5.5,n,n,n,
1mb,1,2.7,n,n,n,
